"from","to","from_class","to_class","edge_class","weight"
"N1","N2","person","person","communication",17
"N1","N3","person","person","communication",1
"N1","N4","person","person","communication",4
"N1","N6","person","person","communication",17
"N1","N13","person","person","communication",1
"N1","N15","person","person","communication",3
"N1","N16","person","person","communication",1
"N1","N18","person","person","communication",1
"N1","N20","person","person","communication",1
"N1","N22","person","person","communication",1
"N2","N1","person","person","communication",21
"N2","N7","person","person","communication",5
"N2","N8","person","person","communication",1
"N2","N11","person","person","communication",15
"N2","N12","person","person","communication",1
"N2","N14","person","person","communication",2
"N2","N17","person","person","communication",1
"N2","N19","person","person","communication",2
"N2","N24","person","person","communication",1
"N2","N25","person","person","communication",1
"N4","N3","person","person","communication",1
"N5","N4","person","person","communication",1
"N7","N2","person","person","communication",1
"N8","N9","person","person","communication",1
"N8","N13","person","person","communication",1
"N9","N13","person","person","communication",8
"N10","N2","person","person","communication",22
"N10","N7","person","person","communication",1
"N10","N8","person","person","communication",1
"N10","N11","person","person","communication",1
"N11","N2","person","person","communication",10
"N11","N24","person","person","communication",10
"N13","N7","person","person","communication",1
"N13","N8","person","person","communication",2
"N13","N9","person","person","communication",9
"N13","N22","person","person","communication",1
"N14","N2","person","person","communication",2
"N15","N1","person","person","communication",2
"N15","N4","person","person","communication",1
"N16","N1","person","person","communication",1
"N17","N7","person","person","communication",1
"N21","N2","person","person","communication",1
"N22","N13","person","person","communication",1
"N23","N11","person","person","communication",20
"N24","N11","person","person","communication",1
